task_id,scene_id,image,motion_type,prompt_en,prompt_zh
erob_034,erob_quadruped_stairs_rubble_fpv,images/erob_034.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot takes two careful steps across the existing brick pile while its body and leg count remain unchanged. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人穿过砖块堆。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_035,erob_quadruped_stairs_rubble_fpv,images/erob_035.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot walks straight forward a short distance along the existing yellow aisle line with stable foot contact. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人沿车间通道行走。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_037,erob_quadruped_stairs_rubble_fpv,images/erob_037.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot steps from the curb onto the existing ballast and stabilizes beside the rail wagon. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人踏上铁路道砟。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_052,erob_light_curtain_emergency_stop,images/erob_052.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. As the worker approaches the visible fenced robot cell, the robot stops its tool motion and remains stopped. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：人员靠近围栏时机器人停机。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_082,erob_gripper_failure_recovery,images/erob_082.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The foreground robot end effector develops a small local slip at its existing fixture contact, then pauses without detaching. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：末端执行器在夹具接触处轻微滑移。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_083,erob_gripper_failure_recovery,images/erob_083.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The empty robot gripper makes one small controlled jaw movement, then stops; no workpiece or other object appears between the jaws. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：空夹爪进行小幅运动。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_084,erob_gripper_failure_recovery,images/erob_084.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. One existing gripper jaw closes slightly out of alignment, the approach pauses, and the machined part remains fixed on the table. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：夹爪接近时轻微错位。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_146,erob_amr_charger_smoke_abort,images/erob_146.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The AMR begins moving away from the visible charging unit, detects the unit still within its clearance zone, and stops after a short distance. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：AMR离开充电设备时停车。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_147,erob_amr_charger_smoke_abort,images/erob_147.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The loaded AMR advances slowly along the green lane and stops before crossing the yellow boundary line. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：载货AMR在通道边界前停车。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_156,erob_amr_charger_smoke_abort,images/erob_156.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The AMR moves a short distance forward with the existing rack while its wheels maintain stable contact with the factory floor. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：AMR承载现有金属架移动。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_193,erob_gripper_failure_recovery,images/erob_193.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The existing gear shifts slightly within the gripper, then the gripper stops while continuing to hold it. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：齿轮在夹爪中轻微滑移。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_222,erob_quadruped_stairs_rubble_fpv,images/erob_222.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot takes two slow steps across the wet muddy patch; each foot presses locally into the soft surface without sliding. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人通过泥泞地面。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_245,erob_cobot_human_handover,images/erob_245.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The robot arm slows its existing movement as the nearby worker reaches toward the workstation, maintaining a visible clearance. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：协作机器人在人员附近减速。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_259,erob_tracked_robot_rubble,images/erob_259.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The tracked inspection robot moves a short distance along the existing paved lane while both tracks maintain stable ground contact. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：履带巡检机器人沿厂区道路移动。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_260,erob_tracked_robot_rubble,images/erob_260.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The wheeled inspection robot advances a short distance over the existing rocky trail; all four wheels maintain plausible contact and the chassis stays rigid. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：轮式巡检机器人通过岩石地面。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_023,hload_mining_truck_muddy_slope,images/hload_023.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The mining haul truck rolls slowly forward along the existing uneven haul road; all tires rotate with stable ground contact and the rigid body does not slide. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：矿用重卡沿矿区道路行驶。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_058,hload_excavator_linkage_loading,images/hload_058.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The excavator lowers its existing loaded bucket slightly into the dump body; the boom, stick, and bucket remain rigidly coupled and no new material appears. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：挖掘机下放已装载铲斗。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_069,hload_ground_settlement_outrigger,images/hload_069.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The visible outrigger foot settles a few centimeters into the soft patch beneath it while the crane chassis and boom remain rigid. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：起重机支腿局部下沉。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_109,hload_tunnel_pipe_burst_mud_surge,images/hload_109.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. A local split opens on the upper surface of the existing trench pipe and muddy water flows from that point along the trench bottom. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：沟槽管道局部破裂并流出泥水。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_152,hload_formwork_collapse_local,images/hload_152.jpg,dolly,"Use the reference image as the exact first frame and create a 5-second photorealistic industrial video of construction formwork shoring scaffold: Local formwork support fails under load. Camera: smooth dolly forward while keeping subject framed. Show a localized, causal event where requested operation/failure progression occurs; by the end, final risk state shows stability/escalation. Preserve identity, component counts, materials, lighting, background, and non-event regions; only the requested event and camera perspective may change. Avoid text/logos/watermarks, extra entities, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：模板/支撑架局部失稳坍塌。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_215,hload_excavator_linkage_loading,images/hload_215.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The excavator raises the existing rock-filled bucket a short distance while all boom, stick, bucket, and track geometry remains stable. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：挖掘机抬升装有岩石的铲斗。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_225,hload_excavator_linkage_loading,images/hload_225.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The excavator rotates its bucket slightly and releases only the existing soil into the truck while the hydraulic linkage remains coherent. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：挖掘机向卡车卸下现有土料。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_226,hload_ground_settlement_outrigger,images/hload_226.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The nearest visible outrigger foot settles slightly into the ground while the unloaded boom and crane chassis remain rigid and stationary. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：空载起重机支腿轻微下沉。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
hload_248,hload_sling_angle_center_of_gravity,images/hload_248.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The existing suspended load tilts slightly as its attachment shifts off center; the hook line stays taut and connected. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：悬吊载荷因偏心轻微倾斜。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
pdef_108,pdef_gauge_level_valve_anomaly,images/pdef_108.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The inspection view moves across the existing linear stages and reveals one carriage offset a few millimeters from the common alignment line. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：直线模组滑台轻微错位。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
