scene_id,domain,application_type,task_category,reference_subject,image_requirement,image_count,target_per_scene,deficit,selected
hload_tunnel_pipe_burst_mud_surge,heavy_load_construction,heavy_operation_risk,fluid_dynamics_and_thermodynamics,construction trench broken pipe,"Construction trench, tunnel, underground pipe, muddy water source, or excavation pit",10,16,6,True
hload_wire_rope_overload_snap,heavy_load_construction,heavy_operation_risk,topology_mutation_and_failure,crane wire rope hook block,"Crane wire rope, sling, hoist cable, or hook block with visible tension path",7,16,9,True
pdef_cnc_curved_surface_cutting,precision_defect_gen,defect_generation,rigid_body_kinematics_and_coupling,five axis cnc milling machine,"CNC milling center, 5-axis machine, tool, fixture, and workpiece",13,16,3,True
pdef_connector_pin_bent,precision_defect_gen,defect_generation,topology_mutation_and_failure,electrical connector pins close up,"Dense electrical connector, pins, sockets, wire bond pads, or terminal block",8,16,8,True
pdef_cutting_fluid_spray,precision_defect_gen,emergency_rehearsal,fluid_dynamics_and_thermodynamics,cnc cutting fluid nozzle,"Machining zone with coolant nozzle, rotating tool, metal chips, or enclosed CNC window",5,16,11,True
pdef_engine_endoscope_crack,precision_defect_gen,inspection_and_maintenance,spatial_exploration_and_viewpoint,borescope turbine blade pipe crack,"Engine borescope/endoscope view, turbine blade, pipe wall, or inner cavity inspection",4,16,12,True
pdef_gear_tooth_missing_wear,precision_defect_gen,defect_generation,topology_mutation_and_failure,industrial gear teeth close up,"Gear teeth, gearbox, sprocket, rack, or machined periodic teeth with clear counts",6,16,10,True
pdef_pcb_solder_bridge_short,precision_defect_gen,defect_generation,topology_mutation_and_failure,pcb circuit board solder joints,"High-density PCB, solder joints, IC pins, fine traces, or macro electronics view",15,16,1,True
pdef_precision_assembly_misalignment,precision_defect_gen,inspection_and_maintenance,rigid_body_kinematics_and_coupling,bearing shaft precision assembly fixture,"Bearing, shaft, fixture, precision assembly jig, or robotic inspection station",9,16,7,True
pdef_surface_scratch_inspection,precision_defect_gen,inspection_and_maintenance,topology_mutation_and_failure,polished metal surface scratch inspection,"Polished metal, wafer, optical lens, bearing race, or machined surface",13,16,3,True
pdef_tube_bundle_endoscopy,precision_defect_gen,inspection_and_maintenance,spatial_exploration_and_viewpoint,heat exchanger tube bundle,"Heat exchanger tube bundle, borescope tunnel, dense repeated circular pipes",9,16,7,True
pdef_weld_porosity_crack,precision_defect_gen,inspection_and_maintenance,topology_mutation_and_failure,pipe weld seam close up,"Weld seam, pipe weld, steel plate, bead, or inspection close-up with localized defect area",4,16,12,True
vsec_crane_unsafe_swing_near_people,visual_security,safety_training,rigid_body_kinematics_and_coupling,crane suspended load exclusion zone,"Mobile crane, tower crane, or suspended hook/load with visible exclusion zone",9,16,7,True
vsec_dangerous_goods_liquid_leak,visual_security,emergency_rehearsal,fluid_dynamics_and_thermodynamics,chemical loading area containment,"Chemical storage/loading area with pipes, drums, tanks, containment curb, or marked hazardous zone",11,16,5,True
vsec_forklift_overspeed_pallet_shift,visual_security,safety_training,rigid_body_kinematics_and_coupling,forklift pallet warehouse,"Forklift or pallet truck carrying visible load in warehouse or yard, with uncluttered turning space",16,16,0,False
vsec_guard_removed_conveyor,visual_security,safety_training,topology_mutation_and_failure,conveyor machine guard,"Conveyor, rotating machinery, guard cover, or exposed pinch-point area",9,16,7,True
vsec_missing_ppe_at_height,visual_security,safety_training,industrial_logic_and_compliance,worker aerial work platform safety harness,"Elevated work platform, scaffold, roof edge, or harness zone with visible worker safety context",8,16,8,True
vsec_pedestrian_forklift_near_miss,visual_security,safety_training,industrial_logic_and_compliance,warehouse forklift pedestrian lane,Warehouse aisle or yard intersection with forklifts/pedestrian route and readable right-of-way context,12,16,4,True
vsec_perimeter_fence_breach,visual_security,safety_training,topology_mutation_and_failure,industrial perimeter fence gate,"Industrial fence, gate, barrier, or guardrail with localized area for damage",4,16,12,True
vsec_smoke_alarm_evacuation,visual_security,emergency_rehearsal,fluid_dynamics_and_thermodynamics,industrial corridor smoke alarm,"Industrial corridor, workshop, battery room, or equipment bay with alarm/exit context",3,16,13,True
vsec_surveillance_blind_spot_sweep,visual_security,safety_training,spatial_exploration_and_viewpoint,warehouse cctv blind corner,"CCTV-style view of warehouse aisle, gate, loading bay, or blind corner with depth cues",7,16,9,True
vsec_unregistered_vehicle_intrusion,visual_security,safety_training,industrial_logic_and_compliance,industrial gate vehicle restricted zone,"Gate, loading dock, factory road, or restricted lane with clear vehicle path and access boundary",6,16,10,True
